iter	Passed	Remaining
0	47	47678
1	48	24111
2	49	16366
3	50	12460
4	51	10168
5	53	8793
6	54	7743
7	56	7039
8	58	6430
9	60	5948
10	61	5527
11	63	5201
12	64	4922
13	71	5048
14	73	4825
15	74	4578
16	75	4375
17	76	4196
18	78	4034
19	79	3894
20	80	3751
21	81	3608
22	82	3491
23	83	3389
24	84	3295
25	86	3257
26	88	3173
27	89	3093
28	90	3022
29	91	2963
30	92	2904
31	94	2853
32	95	2788
33	96	2735
34	97	2691
35	98	2647
36	99	2596
37	101	2561
38	102	2524
39	103	2490
40	104	2454
41	106	2423
42	107	2391
43	108	2361
44	110	2335
45	111	2308
46	115	2347
47	117	2326
48	118	2303
49	119	2279
50	120	2249
51	121	2213
52	122	2184
53	126	2217
54	130	2242
55	133	2243
56	135	2246
57	137	2226
58	138	2206
59	139	2186
60	141	2170
61	141	2146
62	143	2128
63	147	2163
64	149	2147
65	150	2129
66	151	2114
67	152	2091
68	153	2071
69	154	2056
70	155	2039
71	156	2022
72	159	2022
73	160	2009
74	162	1998
75	163	1984
76	164	1970
77	165	1956
78	166	1943
79	167	1931
80	168	1916
81	170	1903
82	171	1891
83	172	1880
84	174	1878
85	182	1937
86	183	1929
87	184	1914
88	185	1902
89	187	1894
90	189	1893
91	190	1882
92	191	1871
93	194	1870
94	195	1864
95	198	1870
96	200	1870
97	204	1882
98	205	1871
99	209	1884
100	210	1873
101	211	1864
102	213	1856
103	214	1847
104	215	1841
105	217	1833
106	219	1834
107	220	1823
108	224	1831
109	225	1821
110	226	1816
111	228	1808
112	229	1800
113	231	1801
114	237	1824
115	238	1815
116	240	1818
117	242	1809
118	243	1801
119	244	1796
120	246	1788
121	246	1777
122	247	1766
123	249	1763
124	250	1755
125	251	1747
126	253	1740
127	255	1737
128	256	1731
129	257	1724
130	261	1733
131	264	1737
132	265	1731
133	266	1725
134	268	1717
135	269	1713
136	271	1707
137	273	1705
138	273	1694
139	286	1757
140	288	1758
141	293	1775
142	297	1781
143	301	1793
144	303	1790
145	304	1782
146	305	1774
147	306	1763
148	307	1754
149	308	1745
150	310	1745
151	313	1747
152	314	1740
153	316	1740
154	318	1734
155	319	1727
156	320	1719
157	321	1712
158	322	1705
159	324	1701
160	327	1708
161	328	1699
162	329	1691
163	330	1683
164	340	1721
165	346	1741
166	359	1792
167	360	1786
168	361	1776
169	362	1771
170	363	1764
171	366	1762
172	371	1775
173	376	1789
174	378	1782
175	379	1775
176	380	1770
177	385	1780
178	390	1789
179	390	1780
180	395	1789
181	397	1784
182	398	1779
183	400	1775
184	408	1799
185	411	1799
186	413	1797
187	415	1795
188	418	1795
189	419	1789
190	421	1783
191	422	1776
192	423	1769
